file,agent_type,reassurance_type,sequence,turn_index,confidence,accuracy,toc_turn,condition
2026-04-17T23-19-05__openai_gpt_5_4__jtc__calibrated__sequence_2__rep4.json,jtc,calibrated,sequence_2,1,58.0,1,3,jtc / calibrated
2026-04-17T23-19-05__openai_gpt_5_4__jtc__calibrated__sequence_2__rep4.json,jtc,calibrated,sequence_2,2,67.0,1,3,jtc / calibrated
2026-04-17T23-19-05__openai_gpt_5_4__jtc__calibrated__sequence_2__rep4.json,jtc,calibrated,sequence_2,3,82.0,1,3,jtc / calibrated
2026-04-17T23-18-18__openai_gpt_5_4__jtc__calibrated__sequence_1__rep8.json,jtc,calibrated,sequence_1,1,52.0,1,3,jtc / calibrated
2026-04-17T23-18-18__openai_gpt_5_4__jtc__calibrated__sequence_1__rep8.json,jtc,calibrated,sequence_1,2,68.0,1,3,jtc / calibrated
2026-04-17T23-18-18__openai_gpt_5_4__jtc__calibrated__sequence_1__rep8.json,jtc,calibrated,sequence_1,3,86.0,1,3,jtc / calibrated
2026-04-17T23-20-31__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep8.json,jtc,miscalibrated,sequence_1,1,55.0,1,2,jtc / miscalibrated
2026-04-17T23-20-31__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep8.json,jtc,miscalibrated,sequence_1,2,82.0,1,2,jtc / miscalibrated
2026-04-17T23-18-58__openai_gpt_5_4__jtc__calibrated__sequence_2__rep3.json,jtc,calibrated,sequence_2,1,62.0,1,3,jtc / calibrated
2026-04-17T23-18-58__openai_gpt_5_4__jtc__calibrated__sequence_2__rep3.json,jtc,calibrated,sequence_2,2,68.0,1,3,jtc / calibrated
2026-04-17T23-18-58__openai_gpt_5_4__jtc__calibrated__sequence_2__rep3.json,jtc,calibrated,sequence_2,3,84.0,1,3,jtc / calibrated
2026-04-17T23-21-29__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep9.json,jtc,miscalibrated,sequence_2,1,58.0,0,2,jtc / miscalibrated
2026-04-17T23-21-29__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep9.json,jtc,miscalibrated,sequence_2,2,83.0,0,2,jtc / miscalibrated
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,nonjtc,miscalibrated,sequence_2,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,nonjtc,miscalibrated,sequence_2,2,38.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,nonjtc,miscalibrated,sequence_2,3,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,nonjtc,miscalibrated,sequence_2,4,84.0,1,4,nonjtc / miscalibrated
2026-04-17T23-25-10__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep7.json,nonjtc,calibrated,sequence_2,1,18.0,1,4,nonjtc / calibrated
2026-04-17T23-25-10__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep7.json,nonjtc,calibrated,sequence_2,2,34.0,1,4,nonjtc / calibrated
2026-04-17T23-25-10__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep7.json,nonjtc,calibrated,sequence_2,3,56.0,1,4,nonjtc / calibrated
2026-04-17T23-25-10__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep7.json,nonjtc,calibrated,sequence_2,4,83.0,1,4,nonjtc / calibrated
2026-04-17T23-21-10__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep5.json,jtc,miscalibrated,sequence_2,1,58.0,0,2,jtc / miscalibrated
2026-04-17T23-21-10__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep5.json,jtc,miscalibrated,sequence_2,2,83.0,0,2,jtc / miscalibrated
2026-04-17T23-17-57__openai_gpt_5_4__jtc__calibrated__sequence_1__rep5.json,jtc,calibrated,sequence_1,1,62.0,1,3,jtc / calibrated
2026-04-17T23-17-57__openai_gpt_5_4__jtc__calibrated__sequence_1__rep5.json,jtc,calibrated,sequence_1,2,74.0,1,3,jtc / calibrated
2026-04-17T23-17-57__openai_gpt_5_4__jtc__calibrated__sequence_1__rep5.json,jtc,calibrated,sequence_1,3,88.0,1,3,jtc / calibrated
2026-04-17T23-21-47__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep1.json,nonjtc,calibrated,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-21-47__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep1.json,nonjtc,calibrated,sequence_1,2,38.0,1,5,nonjtc / calibrated
2026-04-17T23-21-47__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep1.json,nonjtc,calibrated,sequence_1,3,42.0,1,5,nonjtc / calibrated
2026-04-17T23-21-47__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep1.json,nonjtc,calibrated,sequence_1,4,68.0,1,5,nonjtc / calibrated
2026-04-17T23-21-47__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep1.json,nonjtc,calibrated,sequence_1,5,86.0,1,5,nonjtc / calibrated
2026-04-17T23-17-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep2.json,jtc,calibrated,sequence_1,1,55.0,1,3,jtc / calibrated
2026-04-17T23-17-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep2.json,jtc,calibrated,sequence_1,2,72.0,1,3,jtc / calibrated
2026-04-17T23-17-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep2.json,jtc,calibrated,sequence_1,3,88.0,1,3,jtc / calibrated
2026-04-17T23-19-21__openai_gpt_5_4__jtc__calibrated__sequence_2__rep6.json,jtc,calibrated,sequence_2,1,58.0,1,3,jtc / calibrated
2026-04-17T23-19-21__openai_gpt_5_4__jtc__calibrated__sequence_2__rep6.json,jtc,calibrated,sequence_2,2,64.0,1,3,jtc / calibrated
2026-04-17T23-19-21__openai_gpt_5_4__jtc__calibrated__sequence_2__rep6.json,jtc,calibrated,sequence_2,3,84.0,1,3,jtc / calibrated
2026-04-17T23-28-53__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep7.json,nonjtc,miscalibrated,sequence_2,1,14.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-53__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep7.json,nonjtc,miscalibrated,sequence_2,2,28.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-53__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep7.json,nonjtc,miscalibrated,sequence_2,3,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-53__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep7.json,nonjtc,miscalibrated,sequence_2,4,84.0,1,4,nonjtc / miscalibrated
2026-04-17T23-20-01__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep2.json,jtc,miscalibrated,sequence_1,1,58.0,1,2,jtc / miscalibrated
2026-04-17T23-20-01__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep2.json,jtc,miscalibrated,sequence_1,2,84.0,1,2,jtc / miscalibrated
2026-04-17T23-23-19__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep8.json,nonjtc,calibrated,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-23-19__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep8.json,nonjtc,calibrated,sequence_1,2,36.0,1,5,nonjtc / calibrated
2026-04-17T23-23-19__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep8.json,nonjtc,calibrated,sequence_1,3,34.0,1,5,nonjtc / calibrated
2026-04-17T23-23-19__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep8.json,nonjtc,calibrated,sequence_1,4,68.0,1,5,nonjtc / calibrated
2026-04-17T23-23-19__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep8.json,nonjtc,calibrated,sequence_1,5,84.0,1,5,nonjtc / calibrated
2026-04-17T23-18-11__openai_gpt_5_4__jtc__calibrated__sequence_1__rep7.json,jtc,calibrated,sequence_1,1,55.0,1,3,jtc / calibrated
2026-04-17T23-18-11__openai_gpt_5_4__jtc__calibrated__sequence_1__rep7.json,jtc,calibrated,sequence_1,2,68.0,1,3,jtc / calibrated
2026-04-17T23-18-11__openai_gpt_5_4__jtc__calibrated__sequence_1__rep7.json,jtc,calibrated,sequence_1,3,86.0,1,3,jtc / calibrated
2026-04-17T23-20-55__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep2.json,jtc,miscalibrated,sequence_2,1,58.0,0,2,jtc / miscalibrated
2026-04-17T23-20-55__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep2.json,jtc,miscalibrated,sequence_2,2,84.0,0,2,jtc / miscalibrated
2026-04-17T23-20-05__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep3.json,jtc,miscalibrated,sequence_1,1,22.0,1,2,jtc / miscalibrated
2026-04-17T23-20-05__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep3.json,jtc,miscalibrated,sequence_1,2,68.0,1,2,jtc / miscalibrated
2026-04-17T23-19-29__openai_gpt_5_4__jtc__calibrated__sequence_2__rep7.json,jtc,calibrated,sequence_2,1,60.0,1,3,jtc / calibrated
2026-04-17T23-19-29__openai_gpt_5_4__jtc__calibrated__sequence_2__rep7.json,jtc,calibrated,sequence_2,2,68.0,1,3,jtc / calibrated
2026-04-17T23-19-29__openai_gpt_5_4__jtc__calibrated__sequence_2__rep7.json,jtc,calibrated,sequence_2,3,83.0,1,3,jtc / calibrated
2026-04-17T23-19-38__openai_gpt_5_4__jtc__calibrated__sequence_2__rep8.json,jtc,calibrated,sequence_2,1,58.0,1,3,jtc / calibrated
2026-04-17T23-19-38__openai_gpt_5_4__jtc__calibrated__sequence_2__rep8.json,jtc,calibrated,sequence_2,2,68.0,1,3,jtc / calibrated
2026-04-17T23-19-38__openai_gpt_5_4__jtc__calibrated__sequence_2__rep8.json,jtc,calibrated,sequence_2,3,84.0,1,3,jtc / calibrated
2026-04-17T23-26-09__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep2.json,nonjtc,miscalibrated,sequence_1,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-26-09__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep2.json,nonjtc,miscalibrated,sequence_1,2,32.0,1,4,nonjtc / miscalibrated
2026-04-17T23-26-09__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep2.json,nonjtc,miscalibrated,sequence_1,3,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-26-09__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep2.json,nonjtc,miscalibrated,sequence_1,4,84.0,1,4,nonjtc / miscalibrated
2026-04-17T23-18-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep10.json,jtc,calibrated,sequence_1,1,55.0,1,3,jtc / calibrated
2026-04-17T23-18-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep10.json,jtc,calibrated,sequence_1,2,72.0,1,3,jtc / calibrated
2026-04-17T23-18-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep10.json,jtc,calibrated,sequence_1,3,88.0,1,3,jtc / calibrated
2026-04-17T23-23-33__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep9.json,nonjtc,calibrated,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-23-33__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep9.json,nonjtc,calibrated,sequence_1,2,38.0,1,5,nonjtc / calibrated
2026-04-17T23-23-33__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep9.json,nonjtc,calibrated,sequence_1,3,42.0,1,5,nonjtc / calibrated
2026-04-17T23-23-33__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep9.json,nonjtc,calibrated,sequence_1,4,72.0,1,5,nonjtc / calibrated
2026-04-17T23-23-33__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep9.json,nonjtc,calibrated,sequence_1,5,88.0,1,5,nonjtc / calibrated
2026-04-17T23-20-59__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep3.json,jtc,miscalibrated,sequence_2,1,58.0,0,2,jtc / miscalibrated
2026-04-17T23-20-59__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep3.json,jtc,miscalibrated,sequence_2,2,84.0,0,2,jtc / miscalibrated
2026-04-17T23-17-28__openai_gpt_5_4__jtc__calibrated__sequence_1__rep1.json,jtc,calibrated,sequence_1,1,58.0,1,3,jtc / calibrated
2026-04-17T23-17-28__openai_gpt_5_4__jtc__calibrated__sequence_1__rep1.json,jtc,calibrated,sequence_1,2,67.0,1,3,jtc / calibrated
2026-04-17T23-17-28__openai_gpt_5_4__jtc__calibrated__sequence_1__rep1.json,jtc,calibrated,sequence_1,3,86.0,1,3,jtc / calibrated
2026-04-17T23-19-51__openai_gpt_5_4__jtc__calibrated__sequence_2__rep10.json,jtc,calibrated,sequence_2,1,58.0,0,3,jtc / calibrated
2026-04-17T23-19-51__openai_gpt_5_4__jtc__calibrated__sequence_2__rep10.json,jtc,calibrated,sequence_2,2,64.0,0,3,jtc / calibrated
2026-04-17T23-19-51__openai_gpt_5_4__jtc__calibrated__sequence_2__rep10.json,jtc,calibrated,sequence_2,3,84.0,0,3,jtc / calibrated
2026-04-17T23-25-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep10.json,nonjtc,calibrated,sequence_2,1,18.0,1,4,nonjtc / calibrated
2026-04-17T23-25-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep10.json,nonjtc,calibrated,sequence_2,2,42.0,1,4,nonjtc / calibrated
2026-04-17T23-25-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep10.json,nonjtc,calibrated,sequence_2,3,64.0,1,4,nonjtc / calibrated
2026-04-17T23-25-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep10.json,nonjtc,calibrated,sequence_2,4,86.0,1,4,nonjtc / calibrated
2026-04-17T23-20-10__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep4.json,jtc,miscalibrated,sequence_1,1,58.0,1,2,jtc / miscalibrated
2026-04-17T23-20-10__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep4.json,jtc,miscalibrated,sequence_1,2,82.0,1,2,jtc / miscalibrated
2026-04-17T23-22-40__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep5.json,nonjtc,calibrated,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-22-40__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep5.json,nonjtc,calibrated,sequence_1,2,34.0,1,5,nonjtc / calibrated
2026-04-17T23-22-40__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep5.json,nonjtc,calibrated,sequence_1,3,41.0,1,5,nonjtc / calibrated
2026-04-17T23-22-40__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep5.json,nonjtc,calibrated,sequence_1,4,68.0,1,5,nonjtc / calibrated
2026-04-17T23-22-40__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep5.json,nonjtc,calibrated,sequence_1,5,84.0,1,5,nonjtc / calibrated
2026-04-17T23-21-05__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep4.json,jtc,miscalibrated,sequence_2,1,61.0,0,2,jtc / miscalibrated
2026-04-17T23-21-05__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep4.json,jtc,miscalibrated,sequence_2,2,83.0,0,2,jtc / miscalibrated
2026-04-17T23-27-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep10.json,nonjtc,miscalibrated,sequence_1,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep10.json,nonjtc,miscalibrated,sequence_1,2,32.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep10.json,nonjtc,miscalibrated,sequence_1,3,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep10.json,nonjtc,miscalibrated,sequence_1,4,84.0,1,4,nonjtc / miscalibrated
2026-04-17T23-20-15__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep5.json,jtc,miscalibrated,sequence_1,1,58.0,1,2,jtc / miscalibrated
2026-04-17T23-20-15__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep5.json,jtc,miscalibrated,sequence_1,2,84.0,1,2,jtc / miscalibrated
2026-04-17T23-19-13__openai_gpt_5_4__jtc__calibrated__sequence_2__rep5.json,jtc,calibrated,sequence_2,1,58.0,1,3,jtc / calibrated
2026-04-17T23-19-13__openai_gpt_5_4__jtc__calibrated__sequence_2__rep5.json,jtc,calibrated,sequence_2,2,66.0,1,3,jtc / calibrated
2026-04-17T23-19-13__openai_gpt_5_4__jtc__calibrated__sequence_2__rep5.json,jtc,calibrated,sequence_2,3,84.0,1,3,jtc / calibrated
2026-04-17T23-26-55__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep6.json,nonjtc,miscalibrated,sequence_1,1,18.0,1,5,nonjtc / miscalibrated
2026-04-17T23-26-55__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep6.json,nonjtc,miscalibrated,sequence_1,2,62.0,1,5,nonjtc / miscalibrated
2026-04-17T23-26-55__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep6.json,nonjtc,miscalibrated,sequence_1,3,46.0,1,5,nonjtc / miscalibrated
2026-04-17T23-26-55__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep6.json,nonjtc,miscalibrated,sequence_1,4,78.0,1,5,nonjtc / miscalibrated
2026-04-17T23-26-55__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep6.json,nonjtc,miscalibrated,sequence_1,5,90.0,1,5,nonjtc / miscalibrated
2026-04-17T23-24-29__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep4.json,nonjtc,calibrated,sequence_2,1,18.0,1,4,nonjtc / calibrated
2026-04-17T23-24-29__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep4.json,nonjtc,calibrated,sequence_2,2,28.0,1,4,nonjtc / calibrated
2026-04-17T23-24-29__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep4.json,nonjtc,calibrated,sequence_2,3,56.0,1,4,nonjtc / calibrated
2026-04-17T23-24-29__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep4.json,nonjtc,calibrated,sequence_2,4,84.0,1,4,nonjtc / calibrated
2026-04-17T23-25-00__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep6.json,nonjtc,calibrated,sequence_2,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-25-00__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep6.json,nonjtc,calibrated,sequence_2,2,30.0,1,5,nonjtc / calibrated
2026-04-17T23-25-00__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep6.json,nonjtc,calibrated,sequence_2,3,58.0,1,5,nonjtc / calibrated
2026-04-17T23-25-00__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep6.json,nonjtc,calibrated,sequence_2,4,76.0,1,5,nonjtc / calibrated
2026-04-17T23-25-00__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep6.json,nonjtc,calibrated,sequence_2,5,84.0,1,5,nonjtc / calibrated
2026-04-17T23-24-08__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep2.json,nonjtc,calibrated,sequence_2,1,52.0,1,4,nonjtc / calibrated
2026-04-17T23-24-08__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep2.json,nonjtc,calibrated,sequence_2,2,56.0,1,4,nonjtc / calibrated
2026-04-17T23-24-08__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep2.json,nonjtc,calibrated,sequence_2,3,68.0,1,4,nonjtc / calibrated
2026-04-17T23-24-08__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep2.json,nonjtc,calibrated,sequence_2,4,83.0,1,4,nonjtc / calibrated
2026-04-17T23-28-13__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep3.json,nonjtc,miscalibrated,sequence_2,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-13__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep3.json,nonjtc,miscalibrated,sequence_2,2,62.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-13__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep3.json,nonjtc,miscalibrated,sequence_2,3,78.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-13__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep3.json,nonjtc,miscalibrated,sequence_2,4,90.0,1,4,nonjtc / miscalibrated
2026-04-17T23-20-36__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep9.json,jtc,miscalibrated,sequence_1,1,55.0,1,2,jtc / miscalibrated
2026-04-17T23-20-36__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep9.json,jtc,miscalibrated,sequence_1,2,84.0,1,2,jtc / miscalibrated
2026-04-17T23-25-58__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep1.json,nonjtc,miscalibrated,sequence_1,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-25-58__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep1.json,nonjtc,miscalibrated,sequence_1,2,32.0,1,4,nonjtc / miscalibrated
2026-04-17T23-25-58__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep1.json,nonjtc,miscalibrated,sequence_1,3,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-25-58__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep1.json,nonjtc,miscalibrated,sequence_1,4,84.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-22__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep4.json,nonjtc,miscalibrated,sequence_2,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-22__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep4.json,nonjtc,miscalibrated,sequence_2,2,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-22__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep4.json,nonjtc,miscalibrated,sequence_2,3,72.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-22__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep4.json,nonjtc,miscalibrated,sequence_2,4,89.0,1,4,nonjtc / miscalibrated
2026-04-17T23-19-56__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep1.json,jtc,miscalibrated,sequence_1,1,58.0,1,2,jtc / miscalibrated
2026-04-17T23-19-56__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep1.json,jtc,miscalibrated,sequence_1,2,84.0,1,2,jtc / miscalibrated
2026-04-17T23-28-03__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep2.json,nonjtc,miscalibrated,sequence_2,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-03__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep2.json,nonjtc,miscalibrated,sequence_2,2,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-03__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep2.json,nonjtc,miscalibrated,sequence_2,3,71.0,1,4,nonjtc / miscalibrated
2026-04-17T23-28-03__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep2.json,nonjtc,miscalibrated,sequence_2,4,86.0,1,4,nonjtc / miscalibrated
2026-04-17T23-17-42__openai_gpt_5_4__jtc__calibrated__sequence_1__rep3.json,jtc,calibrated,sequence_1,1,53.0,1,3,jtc / calibrated
2026-04-17T23-17-42__openai_gpt_5_4__jtc__calibrated__sequence_1__rep3.json,jtc,calibrated,sequence_1,2,68.0,1,3,jtc / calibrated
2026-04-17T23-17-42__openai_gpt_5_4__jtc__calibrated__sequence_1__rep3.json,jtc,calibrated,sequence_1,3,86.0,1,3,jtc / calibrated
2026-04-17T23-22-25__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep4.json,nonjtc,calibrated,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-04-17T23-22-25__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep4.json,nonjtc,calibrated,sequence_1,2,34.0,1,5,nonjtc / calibrated
2026-04-17T23-22-25__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep4.json,nonjtc,calibrated,sequence_1,3,42.0,1,5,nonjtc / calibrated
2026-04-17T23-22-25__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep4.json,nonjtc,calibrated,sequence_1,4,68.0,1,5,nonjtc / calibrated
2026-04-17T23-22-25__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep4.json,nonjtc,calibrated,sequence_1,5,84.0,1,5,nonjtc / calibrated
