file,agent_type,reassurance_type,reassurance_delivery_style,sequence,turn_index,confidence,accuracy,toc_turn,condition
2026-05-27T08-41-03__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep7.json,nonjtc,calibrated,warm_supportive,sequence_1,2,24.0,1,4,nonjtc / calibrated
2026-05-27T08-41-03__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep7.json,nonjtc,calibrated,warm_supportive,sequence_1,3,62.0,1,4,nonjtc / calibrated
2026-05-27T08-41-03__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep7.json,nonjtc,calibrated,warm_supportive,sequence_1,4,86.0,1,4,nonjtc / calibrated
2026-05-27T08-32-32__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep4.json,jtc,miscalibrated,confidence_focused,sequence_1,1,58.0,1,3,jtc / miscalibrated
2026-05-27T08-32-32__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep4.json,jtc,miscalibrated,confidence_focused,sequence_1,2,76.0,1,3,jtc / miscalibrated
2026-05-27T08-32-32__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep4.json,jtc,miscalibrated,confidence_focused,sequence_1,3,88.0,1,3,jtc / miscalibrated
2026-05-27T09-01-56__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep5.json,nonjtc,miscalibrated,warm_supportive,sequence_2,1,18.0,1,5,nonjtc / miscalibrated
2026-05-27T09-01-56__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep5.json,nonjtc,miscalibrated,warm_supportive,sequence_2,2,24.0,1,5,nonjtc / miscalibrated
2026-05-27T09-01-56__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep5.json,nonjtc,miscalibrated,warm_supportive,sequence_2,3,58.0,1,5,nonjtc / miscalibrated
2026-05-27T09-01-56__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep5.json,nonjtc,miscalibrated,warm_supportive,sequence_2,4,76.0,1,5,nonjtc / miscalibrated
2026-05-27T09-01-56__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep5.json,nonjtc,miscalibrated,warm_supportive,sequence_2,5,86.0,1,5,nonjtc / miscalibrated
2026-05-27T08-38-44__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep7.json,nonjtc,calibrated,brief_naturalistic,sequence_2,1,18.0,1,5,nonjtc / calibrated
2026-05-27T08-38-44__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep7.json,nonjtc,calibrated,brief_naturalistic,sequence_2,2,24.0,1,5,nonjtc / calibrated
2026-05-27T08-38-44__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep7.json,nonjtc,calibrated,brief_naturalistic,sequence_2,3,46.0,1,5,nonjtc / calibrated
2026-05-27T08-38-44__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep7.json,nonjtc,calibrated,brief_naturalistic,sequence_2,4,68.0,1,5,nonjtc / calibrated
2026-05-27T08-38-44__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep7.json,nonjtc,calibrated,brief_naturalistic,sequence_2,5,84.0,1,5,nonjtc / calibrated
2026-05-27T08-19-21__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep8.json,jtc,calibrated,process_focused,sequence_1,1,58.0,1,3,jtc / calibrated
2026-05-27T08-19-21__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep8.json,jtc,calibrated,process_focused,sequence_1,2,52.0,1,3,jtc / calibrated
2026-05-27T08-19-21__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep8.json,jtc,calibrated,process_focused,sequence_1,3,82.0,1,3,jtc / calibrated
2026-05-27T08-35-06__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep2.json,nonjtc,calibrated,brief_naturalistic,sequence_1,1,18.0,1,4,nonjtc / calibrated
2026-05-27T08-35-06__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep2.json,nonjtc,calibrated,brief_naturalistic,sequence_1,2,24.0,1,4,nonjtc / calibrated
2026-05-27T08-35-06__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep2.json,nonjtc,calibrated,brief_naturalistic,sequence_1,3,58.0,1,4,nonjtc / calibrated
2026-05-27T08-35-06__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep2.json,nonjtc,calibrated,brief_naturalistic,sequence_1,4,83.0,1,4,nonjtc / calibrated
2026-05-27T08-51-45__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep1.json,nonjtc,calibrated,confidence_focused,sequence_2,1,18.0,1,6,nonjtc / calibrated
2026-05-27T08-51-45__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep1.json,nonjtc,calibrated,confidence_focused,sequence_2,2,24.0,1,6,nonjtc / calibrated
2026-05-27T08-51-45__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep1.json,nonjtc,calibrated,confidence_focused,sequence_2,3,41.0,1,6,nonjtc / calibrated
2026-05-27T08-51-45__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep1.json,nonjtc,calibrated,confidence_focused,sequence_2,4,63.0,1,6,nonjtc / calibrated
2026-05-27T08-51-45__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep1.json,nonjtc,calibrated,confidence_focused,sequence_2,5,74.0,1,6,nonjtc / calibrated
2026-05-27T08-51-45__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep1.json,nonjtc,calibrated,confidence_focused,sequence_2,6,85.0,1,6,nonjtc / calibrated
2026-05-27T08-18-38__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep3.json,jtc,calibrated,process_focused,sequence_1,1,58.0,1,3,jtc / calibrated
2026-05-27T08-18-38__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep3.json,jtc,calibrated,process_focused,sequence_1,2,64.0,1,3,jtc / calibrated
2026-05-27T08-18-38__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep3.json,jtc,calibrated,process_focused,sequence_1,3,84.0,1,3,jtc / calibrated
2026-05-27T08-31-31__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep7.json,jtc,miscalibrated,process_focused,sequence_2,1,58.0,0,3,jtc / miscalibrated
2026-05-27T08-31-31__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep7.json,jtc,miscalibrated,process_focused,sequence_2,2,76.0,0,3,jtc / miscalibrated
2026-05-27T08-31-31__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep7.json,jtc,miscalibrated,process_focused,sequence_2,3,84.0,0,3,jtc / miscalibrated
2026-05-27T08-53-11__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep6.json,nonjtc,calibrated,confidence_focused,sequence_2,1,18.0,1,5,nonjtc / calibrated
2026-05-27T08-53-11__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep6.json,nonjtc,calibrated,confidence_focused,sequence_2,2,24.0,1,5,nonjtc / calibrated
2026-05-27T08-53-11__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep6.json,nonjtc,calibrated,confidence_focused,sequence_2,3,42.0,1,5,nonjtc / calibrated
2026-05-27T08-53-11__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep6.json,nonjtc,calibrated,confidence_focused,sequence_2,4,68.0,1,5,nonjtc / calibrated
2026-05-27T08-53-11__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep6.json,nonjtc,calibrated,confidence_focused,sequence_2,5,84.0,1,5,nonjtc / calibrated
2026-05-27T08-20-46__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep8.json,jtc,calibrated,process_focused,sequence_2,1,58.0,1,3,jtc / calibrated
2026-05-27T08-20-46__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep8.json,jtc,calibrated,process_focused,sequence_2,2,66.0,1,3,jtc / calibrated
2026-05-27T08-20-46__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep8.json,jtc,calibrated,process_focused,sequence_2,3,84.0,1,3,jtc / calibrated
2026-05-27T08-43-22__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep7.json,nonjtc,calibrated,warm_supportive,sequence_2,1,18.0,1,5,nonjtc / calibrated
2026-05-27T08-43-22__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep7.json,nonjtc,calibrated,warm_supportive,sequence_2,2,22.0,1,5,nonjtc / calibrated
2026-05-27T08-43-22__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep7.json,nonjtc,calibrated,warm_supportive,sequence_2,3,58.0,1,5,nonjtc / calibrated
2026-05-27T08-43-22__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep7.json,nonjtc,calibrated,warm_supportive,sequence_2,4,72.0,1,5,nonjtc / calibrated
2026-05-27T08-43-22__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep7.json,nonjtc,calibrated,warm_supportive,sequence_2,5,86.0,1,5,nonjtc / calibrated
2026-05-27T08-50-14__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep5.json,nonjtc,calibrated,confidence_focused,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-05-27T08-50-14__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep5.json,nonjtc,calibrated,confidence_focused,sequence_1,2,24.0,1,5,nonjtc / calibrated
2026-05-27T08-50-14__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep5.json,nonjtc,calibrated,confidence_focused,sequence_1,3,31.0,1,5,nonjtc / calibrated
2026-05-27T08-50-14__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep5.json,nonjtc,calibrated,confidence_focused,sequence_1,4,63.0,1,5,nonjtc / calibrated
2026-05-27T08-50-14__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep5.json,nonjtc,calibrated,confidence_focused,sequence_1,5,84.0,1,5,nonjtc / calibrated
2026-05-27T08-50-30__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep6.json,nonjtc,calibrated,confidence_focused,sequence_1,1,18.0,1,6,nonjtc / calibrated
2026-05-27T08-50-30__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep6.json,nonjtc,calibrated,confidence_focused,sequence_1,2,24.0,1,6,nonjtc / calibrated
2026-05-27T08-50-30__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep6.json,nonjtc,calibrated,confidence_focused,sequence_1,3,31.0,1,6,nonjtc / calibrated
2026-05-27T08-50-30__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep6.json,nonjtc,calibrated,confidence_focused,sequence_1,4,58.0,1,6,nonjtc / calibrated
2026-05-27T08-50-30__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep6.json,nonjtc,calibrated,confidence_focused,sequence_1,5,72.0,1,6,nonjtc / calibrated
2026-05-27T08-50-30__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep6.json,nonjtc,calibrated,confidence_focused,sequence_1,6,88.0,1,6,nonjtc / calibrated
2026-05-27T09-00-47__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep10.json,nonjtc,miscalibrated,warm_supportive,sequence_1,1,18.0,1,5,nonjtc / miscalibrated
2026-05-27T09-00-47__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep10.json,nonjtc,miscalibrated,warm_supportive,sequence_1,2,24.0,1,5,nonjtc / miscalibrated
2026-05-27T09-00-47__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep10.json,nonjtc,miscalibrated,warm_supportive,sequence_1,3,58.0,1,5,nonjtc / miscalibrated
2026-05-27T09-00-47__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep10.json,nonjtc,miscalibrated,warm_supportive,sequence_1,4,78.0,1,5,nonjtc / miscalibrated
2026-05-27T09-00-47__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep10.json,nonjtc,miscalibrated,warm_supportive,sequence_1,5,89.0,1,5,nonjtc / miscalibrated
2026-05-27T08-16-48__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep10.json,jtc,calibrated,warm_supportive,sequence_1,1,58.0,1,3,jtc / calibrated
2026-05-27T08-16-48__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep10.json,jtc,calibrated,warm_supportive,sequence_1,2,67.0,1,3,jtc / calibrated
2026-05-27T08-16-48__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep10.json,jtc,calibrated,warm_supportive,sequence_1,3,84.0,1,3,jtc / calibrated
2026-05-27T08-21-24__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep2.json,jtc,calibrated,confidence_focused,sequence_1,1,58.0,1,3,jtc / calibrated
2026-05-27T08-21-24__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep2.json,jtc,calibrated,confidence_focused,sequence_1,2,64.0,1,3,jtc / calibrated
2026-05-27T08-21-24__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep2.json,jtc,calibrated,confidence_focused,sequence_1,3,84.0,1,3,jtc / calibrated
2026-05-27T08-39-31__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep10.json,nonjtc,calibrated,brief_naturalistic,sequence_2,1,18.0,1,5,nonjtc / calibrated
2026-05-27T08-39-31__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep10.json,nonjtc,calibrated,brief_naturalistic,sequence_2,2,22.0,1,5,nonjtc / calibrated
2026-05-27T08-39-31__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep10.json,nonjtc,calibrated,brief_naturalistic,sequence_2,3,38.0,1,5,nonjtc / calibrated
2026-05-27T08-39-31__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep10.json,nonjtc,calibrated,brief_naturalistic,sequence_2,4,63.0,1,5,nonjtc / calibrated
2026-05-27T08-39-31__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep10.json,nonjtc,calibrated,brief_naturalistic,sequence_2,5,83.0,1,5,nonjtc / calibrated
2026-05-27T08-44-22__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep1.json,nonjtc,calibrated,process_focused,sequence_1,1,18.0,1,5,nonjtc / calibrated
2026-05-27T08-44-22__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep1.json,nonjtc,calibrated,process_focused,sequence_1,2,24.0,1,5,nonjtc / calibrated
2026-05-27T08-44-22__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep1.json,nonjtc,calibrated,process_focused,sequence_1,3,38.0,1,5,nonjtc / calibrated
2026-05-27T08-44-22__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep1.json,nonjtc,calibrated,process_focused,sequence_1,4,68.0,1,5,nonjtc / calibrated
2026-05-27T08-44-22__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep1.json,nonjtc,calibrated,process_focused,sequence_1,5,84.0,1,5,nonjtc / calibrated
2026-05-27T08-13-58__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep10.json,jtc,calibrated,brief_naturalistic,sequence_1,1,58.0,1,4,jtc / calibrated
2026-05-27T08-13-58__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep10.json,jtc,calibrated,brief_naturalistic,sequence_1,2,52.0,1,4,jtc / calibrated
2026-05-27T08-13-58__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep10.json,jtc,calibrated,brief_naturalistic,sequence_1,3,76.0,1,4,jtc / calibrated
2026-05-27T08-13-58__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep10.json,jtc,calibrated,brief_naturalistic,sequence_1,4,90.0,1,4,jtc / calibrated
2026-05-27T09-00-04__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep7.json,nonjtc,miscalibrated,warm_supportive,sequence_1,1,18.0,1,4,nonjtc / miscalibrated
2026-05-27T09-00-04__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep7.json,nonjtc,miscalibrated,warm_supportive,sequence_1,2,24.0,1,4,nonjtc / miscalibrated
2026-05-27T09-00-04__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep7.json,nonjtc,miscalibrated,warm_supportive,sequence_1,3,58.0,1,4,nonjtc / miscalibrated
2026-05-27T09-00-04__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep7.json,nonjtc,miscalibrated,warm_supportive,sequence_1,4,83.0,1,4,nonjtc / miscalibrated
2026-05-27T08-33-47__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep3.json,jtc,miscalibrated,confidence_focused,sequence_2,1,58.0,1,3,jtc / miscalibrated
2026-05-27T08-33-47__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep3.json,jtc,miscalibrated,confidence_focused,sequence_2,2,72.0,1,3,jtc / miscalibrated
2026-05-27T08-33-47__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep3.json,jtc,miscalibrated,confidence_focused,sequence_2,3,84.0,1,3,jtc / miscalibrated
2026-05-27T08-16-16__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep6.json,jtc,calibrated,warm_supportive,sequence_1,1,58.0,1,3,jtc / calibrated
2026-05-27T08-16-16__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep6.json,jtc,calibrated,warm_supportive,sequence_1,2,62.0,1,3,jtc / calibrated
2026-05-27T08-16-16__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep6.json,jtc,calibrated,warm_supportive,sequence_1,3,84.0,1,3,jtc / calibrated
2026-05-27T08-57-16__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep4.json,nonjtc,miscalibrated,brief_naturalistic,sequence_2,1,18.0,1,5,nonjtc / miscalibrated
2026-05-27T08-57-16__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep4.json,nonjtc,miscalibrated,brief_naturalistic,sequence_2,2,28.0,1,5,nonjtc / miscalibrated
2026-05-27T08-57-16__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep4.json,nonjtc,miscalibrated,brief_naturalistic,sequence_2,3,58.0,1,5,nonjtc / miscalibrated
2026-05-27T08-57-16__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep4.json,nonjtc,miscalibrated,brief_naturalistic,sequence_2,4,74.0,1,5,nonjtc / miscalibrated
2026-05-27T08-57-16__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep4.json,nonjtc,miscalibrated,brief_naturalistic,sequence_2,5,86.0,1,5,nonjtc / miscalibrated
2026-05-27T08-42-41__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep4.json,nonjtc,calibrated,warm_supportive,sequence_2,1,18.0,1,5,nonjtc / calibrated
2026-05-27T08-42-41__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep4.json,nonjtc,calibrated,warm_supportive,sequence_2,2,24.0,1,5,nonjtc / calibrated
2026-05-27T08-42-41__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep4.json,nonjtc,calibrated,warm_supportive,sequence_2,3,58.0,1,5,nonjtc / calibrated
2026-05-27T08-42-41__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep4.json,nonjtc,calibrated,warm_supportive,sequence_2,4,76.0,1,5,nonjtc / calibrated
2026-05-27T08-42-41__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep4.json,nonjtc,calibrated,warm_supportive,sequence_2,5,87.0,1,5,nonjtc / calibrated
2026-05-27T08-28-03__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep3.json,jtc,miscalibrated,warm_supportive,sequence_2,1,60.0,1,3,jtc / miscalibrated
2026-05-27T08-28-03__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep3.json,jtc,miscalibrated,warm_supportive,sequence_2,2,78.0,1,3,jtc / miscalibrated
2026-05-27T08-28-03__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep3.json,jtc,miscalibrated,warm_supportive,sequence_2,3,84.0,1,3,jtc / miscalibrated
2026-05-27T08-25-08__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep9.json,jtc,miscalibrated,brief_naturalistic,sequence_1,1,22.0,1,3,jtc / miscalibrated
2026-05-27T08-25-08__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep9.json,jtc,miscalibrated,brief_naturalistic,sequence_1,2,68.0,1,3,jtc / miscalibrated
2026-05-27T08-25-08__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep9.json,jtc,miscalibrated,brief_naturalistic,sequence_1,3,86.0,1,3,jtc / miscalibrated
2026-05-27T08-30-20__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep8.json,jtc,miscalibrated,process_focused,sequence_1,1,58.0,1,3,jtc / miscalibrated
2026-05-27T08-30-20__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep8.json,jtc,miscalibrated,process_focused,sequence_1,2,76.0,1,3,jtc / miscalibrated
2026-05-27T08-30-20__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep8.json,jtc,miscalibrated,process_focused,sequence_1,3,90.0,1,3,jtc / miscalibrated
2026-05-27T08-19-05__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep6.json,jtc,calibrated,process_focused,sequence_1,1,58.0,1,3,jtc / calibrated
2026-05-27T08-19-05__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep6.json,jtc,calibrated,process_focused,sequence_1,2,62.0,1,3,jtc / calibrated
2026-05-27T08-19-05__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep6.json,jtc,calibrated,process_focused,sequence_1,3,84.0,1,3,jtc / calibrated
2026-05-27T08-32-40__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep5.json,jtc,miscalibrated,confidence_focused,sequence_1,1,58.0,1,3,jtc / miscalibrated
2026-05-27T08-32-40__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep5.json,jtc,miscalibrated,confidence_focused,sequence_1,2,72.0,1,3,jtc / miscalibrated
2026-05-27T08-32-40__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep5.json,jtc,miscalibrated,confidence_focused,sequence_1,3,86.0,1,3,jtc / miscalibrated
2026-05-27T08-23-41__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep8.json,jtc,calibrated,confidence_focused,sequence_2,1,58.0,1,3,jtc / calibrated
2026-05-27T08-23-41__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep8.json,jtc,calibrated,confidence_focused,sequence_2,2,64.0,1,3,jtc / calibrated
2026-05-27T08-23-41__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep8.json,jtc,calibrated,confidence_focused,sequence_2,3,83.0,1,3,jtc / calibrated
2026-05-27T08-59-53__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep6.json,nonjtc,miscalibrated,warm_supportive,sequence_1,1,18.0,1,5,nonjtc / miscalibrated
2026-05-27T08-59-53__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep6.json,nonjtc,miscalibrated,warm_supportive,sequence_1,2,24.0,1,5,nonjtc / miscalibrated
2026-05-27T08-59-53__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep6.json,nonjtc,miscalibrated,warm_supportive,sequence_1,3,42.0,1,5,nonjtc / miscalibrated
2026-05-27T08-59-53__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep6.json,nonjtc,miscalibrated,warm_supportive,sequence_1,4,68.0,1,5,nonjtc / miscalibrated
2026-05-27T08-59-53__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep6.json,nonjtc,miscalibrated,warm_supportive,sequence_1,5,84.0,1,5,nonjtc / miscalibrated
