file,agent_type,reassurance_type,reassurance_delivery_style,condition,mean_abs_confidence_change,max_abs_confidence_jump,early_confidence_gain,accuracy
2026-05-27T08-18-38__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep3.json,jtc,calibrated,process_focused,jtc / calibrated,13.0,20.0,6.0,1
2026-05-27T08-18-48__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep4.json,jtc,calibrated,process_focused,jtc / calibrated,13.0,23.0,3.0,1
2026-05-27T08-18-56__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep5.json,jtc,calibrated,process_focused,jtc / calibrated,14.0,22.0,6.0,1
2026-05-27T08-19-05__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep6.json,jtc,calibrated,process_focused,jtc / calibrated,13.0,22.0,4.0,1
2026-05-27T08-19-13__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep7.json,jtc,calibrated,process_focused,jtc / calibrated,13.0,22.0,4.0,1
2026-05-27T08-19-21__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep8.json,jtc,calibrated,process_focused,jtc / calibrated,18.0,30.0,-6.0,1
2026-05-27T08-19-28__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep9.json,jtc,calibrated,process_focused,jtc / calibrated,13.0,20.0,6.0,1
2026-05-27T08-19-36__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep10.json,jtc,calibrated,process_focused,jtc / calibrated,14.0,18.0,10.0,1
2026-05-27T08-19-48__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep1.json,jtc,calibrated,process_focused,jtc / calibrated,12.0,14.0,10.0,1
2026-05-27T08-19-55__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep2.json,jtc,calibrated,process_focused,jtc / calibrated,12.0,18.0,6.0,1
2026-05-27T08-20-04__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep3.json,jtc,calibrated,process_focused,jtc / calibrated,12.0,15.0,9.0,1
2026-05-27T08-20-12__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep4.json,jtc,calibrated,process_focused,jtc / calibrated,13.0,21.0,5.0,1
2026-05-27T08-20-21__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep5.json,jtc,calibrated,process_focused,jtc / calibrated,12.0,14.0,10.0,1
2026-05-27T08-20-28__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep6.json,jtc,calibrated,process_focused,jtc / calibrated,12.5,19.0,6.0,1
2026-05-27T08-20-38__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep7.json,jtc,calibrated,process_focused,jtc / calibrated,12.5,19.0,6.0,1
2026-05-27T08-20-46__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep8.json,jtc,calibrated,process_focused,jtc / calibrated,13.0,18.0,8.0,1
2026-05-27T08-20-54__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep9.json,jtc,calibrated,process_focused,jtc / calibrated,12.0,18.0,6.0,1
2026-05-27T08-21-04__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep10.json,jtc,calibrated,process_focused,jtc / calibrated,12.5,19.0,6.0,1
2026-05-27T08-21-15__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep1.json,jtc,calibrated,confidence_focused,jtc / calibrated,14.0,20.0,8.0,1
2026-05-27T08-21-24__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep2.json,jtc,calibrated,confidence_focused,jtc / calibrated,13.0,20.0,6.0,1
2026-05-27T08-21-31__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep3.json,jtc,calibrated,confidence_focused,jtc / calibrated,13.0,20.0,6.0,1
2026-05-27T08-21-41__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep4.json,jtc,calibrated,confidence_focused,jtc / calibrated,14.0,20.0,8.0,1
2026-05-27T08-21-49__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep5.json,jtc,calibrated,confidence_focused,jtc / calibrated,12.0,18.0,6.0,1
2026-05-27T08-21-58__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep6.json,jtc,calibrated,confidence_focused,jtc / calibrated,13.0,22.0,4.0,1
2026-05-27T08-22-07__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep7.json,jtc,calibrated,confidence_focused,jtc / calibrated,13.0,18.0,8.0,1
2026-05-27T08-22-14__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep8.json,jtc,calibrated,confidence_focused,jtc / calibrated,14.0,18.0,10.0,1
2026-05-27T08-22-24__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep9.json,jtc,calibrated,confidence_focused,jtc / calibrated,13.0,17.0,9.0,1
2026-05-27T08-22-32__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep10.json,jtc,calibrated,confidence_focused,jtc / calibrated,13.0,20.0,6.0,1
2026-05-27T08-22-40__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep1.json,jtc,calibrated,confidence_focused,jtc / calibrated,13.0,20.0,6.0,1
2026-05-27T08-22-48__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep2.json,jtc,calibrated,confidence_focused,jtc / calibrated,11.0,16.0,6.0,1
2026-05-27T08-22-57__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep3.json,jtc,calibrated,confidence_focused,jtc / calibrated,13.0,18.0,8.0,1
2026-05-27T08-23-05__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep4.json,jtc,calibrated,confidence_focused,jtc / calibrated,13.0,16.0,10.0,1
2026-05-27T08-23-14__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep5.json,jtc,calibrated,confidence_focused,jtc / calibrated,12.0,16.0,8.0,1
2026-05-27T08-23-23__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep6.json,jtc,calibrated,confidence_focused,jtc / calibrated,11.0,16.0,6.0,1
2026-05-27T08-23-32__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep7.json,jtc,calibrated,confidence_focused,jtc / calibrated,11.0,16.0,6.0,1
2026-05-27T08-23-41__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep8.json,jtc,calibrated,confidence_focused,jtc / calibrated,12.5,19.0,6.0,1
2026-05-27T08-23-50__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep9.json,jtc,calibrated,confidence_focused,jtc / calibrated,13.0,18.0,8.0,1
2026-05-27T08-23-58__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep10.json,jtc,calibrated,confidence_focused,jtc / calibrated,12.5,19.0,6.0,1
2026-05-27T08-24-06__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep1.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,15.0,16.0,14.0,1
2026-05-27T08-24-14__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep2.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,16.5,20.0,20.0,1
2026-05-27T08-24-24__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep3.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,14.0,16.0,16.0,1
2026-05-27T08-24-31__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep4.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,31.0,36.0,36.0,1
2026-05-27T08-24-37__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep5.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,24.0,24.0,24.0,1
2026-05-27T08-24-46__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep6.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,14.5,16.0,16.0,1
2026-05-27T08-24-55__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep7.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,15.5,18.0,18.0,1
2026-05-27T08-25-00__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep8.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,25.0,25.0,25.0,1
2026-05-27T08-25-08__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep9.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,32.0,46.0,46.0,1
2026-05-27T08-25-14__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep10.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,26.0,26.0,26.0,1
2026-05-27T08-25-22__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep1.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,12.5,20.0,20.0,1
2026-05-27T08-25-28__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep2.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,24.0,24.0,24.0,0
2026-05-27T08-25-36__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep3.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,13.0,18.0,18.0,1
2026-05-27T08-25-42__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep4.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,22.0,22.0,22.0,0
2026-05-27T08-25-48__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep5.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,24.0,24.0,24.0,0
2026-05-27T08-25-54__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep6.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,18.0,18.0,18.0,0
2026-05-27T08-26-03__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep7.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,13.0,18.0,18.0,0
2026-05-27T08-26-09__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep8.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,22.0,22.0,22.0,0
2026-05-27T08-26-15__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep9.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,24.0,24.0,24.0,0
2026-05-27T08-26-20__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep10.json,jtc,miscalibrated,brief_naturalistic,jtc / miscalibrated,25.0,25.0,25.0,0
2026-05-27T08-26-28__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep1.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,15.0,18.0,18.0,1
2026-05-27T08-26-34__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep2.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,19.0,19.0,19.0,1
2026-05-27T08-26-42__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep3.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,14.0,14.0,14.0,1
2026-05-27T08-26-52__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep4.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,16.0,18.0,18.0,1
2026-05-27T08-27-00__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep5.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,15.5,18.0,18.0,1
2026-05-27T08-27-08__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep6.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,16.5,17.0,16.0,1
2026-05-27T08-27-16__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep7.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,14.0,14.0,14.0,1
2026-05-27T08-27-25__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep8.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,15.0,16.0,14.0,1
2026-05-27T08-27-33__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep9.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,14.5,15.0,14.0,1
2026-05-27T08-27-41__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep10.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,14.0,14.0,14.0,1
2026-05-27T08-27-50__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep1.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,13.0,14.0,14.0,0
2026-05-27T08-27-55__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep2.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,18.0,18.0,18.0,0
2026-05-27T08-28-03__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep3.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,12.0,18.0,18.0,1
2026-05-27T08-28-14__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep4.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,13.0,14.0,14.0,0
2026-05-27T08-28-22__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep5.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,13.0,18.0,18.0,0
2026-05-27T08-28-32__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep6.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,13.0,18.0,18.0,0
2026-05-27T08-28-37__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep7.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,16.0,16.0,16.0,0
2026-05-27T08-28-46__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep8.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,13.0,14.0,14.0,1
2026-05-27T08-28-55__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep9.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,13.0,14.0,14.0,0
2026-05-27T08-29-05__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep10.json,jtc,miscalibrated,warm_supportive,jtc / miscalibrated,12.5,18.0,18.0,1
2026-05-27T08-29-13__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep1.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,14.0,14.0,14.0,1
2026-05-27T08-29-21__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep2.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,16.5,20.0,20.0,1
2026-05-27T08-29-29__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep3.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,16.0,18.0,18.0,1
2026-05-27T08-29-38__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep4.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,15.0,16.0,14.0,1
2026-05-27T08-29-47__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep5.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,15.0,18.0,18.0,1
2026-05-27T08-30-01__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep6.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,15.0,16.0,14.0,1
2026-05-27T08-30-10__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep7.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,15.0,16.0,14.0,1
2026-05-27T08-30-20__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep8.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,16.0,18.0,18.0,1
2026-05-27T08-30-28__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep9.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,15.0,18.0,18.0,1
2026-05-27T08-30-37__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep10.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,16.5,18.0,18.0,1
2026-05-27T08-30-45__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep1.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,13.0,14.0,14.0,0
2026-05-27T08-30-54__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep2.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,13.0,18.0,18.0,0
2026-05-27T08-30-59__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep3.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,24.0,24.0,24.0,0
2026-05-27T08-31-07__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep4.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,13.0,18.0,18.0,1
2026-05-27T08-31-16__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep5.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,13.0,18.0,18.0,0
2026-05-27T08-31-23__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep6.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,13.0,18.0,18.0,0
2026-05-27T08-31-31__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep7.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,13.0,18.0,18.0,0
2026-05-27T08-31-40__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep8.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,13.0,16.0,16.0,0
2026-05-27T08-31-49__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep9.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,13.0,18.0,18.0,0
2026-05-27T08-31-59__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep10.json,jtc,miscalibrated,process_focused,jtc / miscalibrated,13.0,16.0,16.0,0
2026-05-27T08-32-06__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep1.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,16.5,18.0,18.0,1
2026-05-27T08-32-14__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep2.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,16.5,19.0,14.0,1
2026-05-27T08-32-24__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep3.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,14.0,14.0,14.0,1
2026-05-27T08-32-32__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep4.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,15.0,18.0,18.0,1
2026-05-27T08-32-40__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep5.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,14.0,14.0,14.0,1
2026-05-27T08-32-48__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep6.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,16.0,20.0,20.0,1
2026-05-27T08-32-56__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep7.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,16.0,16.0,16.0,1
2026-05-27T08-33-05__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep8.json,jtc,miscalibrated,confidence_focused,jtc / miscalibrated,16.5,20.0,20.0,1
